Supplementary Table 4. List of genes with pathogenic variant frequencies in single-cancer types compared to controls																			
																			
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Histology	Case-control (PTVs)					Case-control (ClinVar pathogenic variants)					Case-control (PTVs + ClinVar pathogenic variants)				
SLC39A5	ENSG00000139540	OMIM	AD	CNS-Medullo	1.38	0.04	3.25	0.014	0.028	-	-	-	-	-	1.38	0.04	3.25	0.014	0.028
SLC3A1	ENSG00000138079	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
SLC4A1	ENSG00000004939	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
SLC6A19	ENSG00000174358	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.16	0.32	0.843	0.859	0.00	0.20	0.05	0.974	0.974
SLC7A9	ENSG00000021488	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	0.00	0.20	0.05	0.974	0.974	0.00	0.20	0.05	0.974	0.974
SLC9A9	ENSG00000181804	OMIM	Other	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
SLCO1B3	ENSG00000111700	OMIM	Other	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
SOX4	ENSG00000124766	OMIM	AD	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
SPG7	ENSG00000197912	OMIM	ADAR	CNS-Medullo	-	-	-	-	-	0.00	0.16	0.32	0.843	0.859	0.00	0.16	0.32	0.843	0.855
SPTA1	ENSG00000163554	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.20	0.05	0.974	0.974	0.69	0.20	1.06	0.371	0.422
SRD5A3	ENSG00000128039	OMIM	AR	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	-	-	-	-	-	0.69	0.08	2.07	0.119	0.192
SRGAP1	ENSG00000196935	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.00	0.12	0.64	0.693	0.721	0.00	0.12	0.64	0.693	0.717
SUGCT	ENSG00000175600	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
SUSD2	ENSG00000099994	SOD	Not OMIM	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
SYNE1	ENSG00000131018	OMIM	AR	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	-	-	-	-	-	0.69	0.08	2.07	0.119	0.192
TBC1D4	ENSG00000136111	OMIM	Other	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
TBCK	ENSG00000145348	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
TBXAS1	ENSG00000059377	OMIM	ADAR	CNS-Medullo	0.69	0.12	1.65	0.189	0.302	-	-	-	-	-	0.69	0.12	1.65	0.189	0.302
TCHH	ENSG00000159450	OMIM	AR	CNS-Medullo	0.00	0.16	0.32	0.843	0.851	-	-	-	-	-	0.00	0.16	0.32	0.843	0.855
TCL1A	ENSG00000100721	SOD	Not OMIM	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
TDRD9	ENSG00000156414	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
TELO2	ENSG00000100726	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
TET2	ENSG00000168769	OMIM	Other	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
TEX11	ENSG00000120498	OMIM	Other	CNS-Medullo	-	-	-	-	-	0.69	0.08	2.07	0.119	0.194	0.69	0.08	2.07	0.119	0.192
TEX15	ENSG00000133863	OMIM	AR	CNS-Medullo	0.69	0.20	1.06	0.371	0.408	-	-	-	-	-	0.69	0.20	1.06	0.371	0.422
TF	ENSG00000091513	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.36	-0.69	0.648	0.692	0.00	0.36	-0.69	0.648	0.689
TGFBI	ENSG00000120708	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.00	0.16	0.32	0.843	0.859	0.00	0.16	0.32	0.843	0.855
TGM1	ENSG00000092295	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.24	-0.17	0.911	0.922	0.00	0.24	-0.17	0.911	0.919
TGM5	ENSG00000104055	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.16	1.33	0.275	0.417	0.69	0.16	1.33	0.275	0.404
TLE6	ENSG00000104953	OMIM	AR	CNS-Medullo	1.38	0.00	4.25	0.011	0.022	-	-	-	-	-	1.38	0.00	4.25	0.011	0.022
TMEM8C	ENSG00000187616	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.24	-0.17	0.911	0.922	0.00	0.24	-0.17	0.911	0.919
TMPRSS3	ENSG00000160183	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.20	1.06	0.371	0.434	0.69	0.20	1.06	0.371	0.422
TMPRSS6	ENSG00000187045	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	0.00	0.12	0.64	0.693	0.721	0.00	0.12	0.64	0.693	0.717
TNNI3K	ENSG00000116783	OMIM	AD	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
TOP3A	ENSG00000177302	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
TP53	ENSG00000141510	CPG	Not OMIM	CNS-Medullo	-	-	-	-	-	0.69	0.04	2.65	0.067	0.112	0.69	0.04	2.65	0.067	0.111
TPH2	ENSG00000139287	OMIM	Other	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
TPO	ENSG00000115705	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	0.00	0.12	0.64	0.693	0.721	0.00	0.20	0.05	0.974	0.974
TREM2	ENSG00000095970	OMIM	Other	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	0.00	0.08	1.06	0.528	0.567	0.00	0.12	0.64	0.693	0.717
TRIOBP	ENSG00000100106	OMIM	AR	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	-	-	-	-	-	0.69	0.08	2.07	0.119	0.192
TRPM1	ENSG00000134160	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.12	0.64	0.693	0.717
TRPM4	ENSG00000130529	OMIM	AD	CNS-Medullo	1.38	0.08	2.66	0.025	0.048	-	-	-	-	-	1.38	0.08	2.66	0.025	0.048
TRPV4	ENSG00000111199	OMIM	AD	CNS-Medullo	-	-	-	-	-	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
TSHR	ENSG00000165409	CPG	Not OMIM	CNS-Medullo	-	-	-	-	-	0.00	0.08	1.06	0.528	0.567	0.00	0.08	1.06	0.528	0.563
TSPEAR	ENSG00000175894	OMIM	AR	CNS-Medullo	0.00	0.24	-0.17	0.911	0.917	-	-	-	-	-	0.00	0.24	-0.17	0.911	0.919
TUBB3	ENSG00000198211	OMIM	AD	CNS-Medullo	0.00	0.28	-0.37	0.811	0.827	-	-	-	-	-	0.00	0.28	-0.37	0.811	0.835
TYR	ENSG00000077498	OMIM	AD	CNS-Medullo	-	-	-	-	-	0.69	0.20	1.06	0.371	0.434	0.69	0.24	0.84	0.472	0.537
UGT2B17	ENSG00000197888	OMIM	Other	CNS-Medullo	0.00	0.16	0.32	0.843	0.851	-	-	-	-	-	0.00	0.16	0.32	0.843	0.855
UNC80	ENSG00000144406	OMIM	AR	CNS-Medullo	-	-	-	-	-	0.69	0.12	1.65	0.189	0.306	0.69	0.12	1.65	0.189	0.302
USH2A	ENSG00000042781	OMIM	AR	CNS-Medullo	0.00	0.12	0.64	0.693	0.709	0.00	0.12	0.64	0.693	0.721	0.00	0.20	0.05	0.974	0.974
USP45	ENSG00000123552	OMIM	AR	CNS-Medullo	4.14	0.56	1.59	0.019	0.037	-	-	-	-	-	4.14	0.56	1.59	0.019	0.037
VPS13C	ENSG00000129003	OMIM	AR	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
VWF	ENSG00000110799	OMIM	ADAR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.12	0.64	0.693	0.717
WDR96	ENSG00000197748	OMIM	AR	CNS-Medullo	0.00	0.08	1.06	0.528	0.551	-	-	-	-	-	0.00	0.08	1.06	0.528	0.563
XBP1	ENSG00000100219	OMIM	Other	CNS-Medullo	0.00	0.20	0.05	0.974	0.974	-	-	-	-	-	0.00	0.20	0.05	0.974	0.974
XIRP2	ENSG00000163092	SOD	Not OMIM	CNS-Medullo	0.69	0.08	2.07	0.119	0.191	-	-	-	-	-	0.69	0.08	2.07	0.119	0.192
ZNF142	ENSG00000115568	OMIM	AR	CNS-Medullo	0.69	0.04	2.65	0.067	0.110	-	-	-	-	-	0.69	0.04	2.65	0.067	0.111
A2ML1	ENSG00000166535	OMIM	AD	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
ABCA3	ENSG00000167972	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.16	1.69	0.165	0.269	0.70	0.16	1.69	0.165	0.263
ABCA4	ENSG00000198691	OMIM	AR	Kidney-RCC	-	-	-	-	-	1.40	0.36	1.28	0.184	0.298	1.40	0.36	1.28	0.184	0.292
ABCA7	ENSG00000064687	OMIM	AD	Kidney-RCC	0.70	0.28	1.01	0.382	0.414	-	-	-	-	-	0.70	0.28	1.01	0.382	0.422
ABCB6	ENSG00000115657	OMIM	AD	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.70	0.12	2.01	0.110	0.176
ABCC11	ENSG00000121270	OMIM	AD	Kidney-RCC	1.40	0.12	2.61	0.019	0.037	-	-	-	-	-	1.40	0.12	2.61	0.019	0.037
ABCC2	ENSG00000023839	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
ABCC6	ENSG00000091262	OMIM	AR	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	0.00	0.24	0.19	0.905	0.908	0.00	0.28	-0.01	0.996	0.996
ABCG2	ENSG00000118777	OMIM	AD	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
ACADVL	ENSG00000072778	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.08	2.43	0.067	0.111	0.70	0.08	2.43	0.067	0.109
ACSL3	ENSG00000123983	SOD	Not OMIM	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
ACSM3	ENSG00000005187	OMIM	Other	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
ADAM10	ENSG00000137845	OMIM	AD	Kidney-RCC	-	-	-	-	-	0.00	0.24	0.19	0.905	0.908	0.00	0.24	0.19	0.905	0.908
ADAMTS13	ENSG00000160323	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.16	0.67	0.671	0.683
ADAMTSL4	ENSG00000143382	OMIM	AR	Kidney-RCC	0.70	0.12	2.01	0.110	0.175	0.00	0.12	1.00	0.538	0.560	0.70	0.12	2.01	0.110	0.176
AGBL1	ENSG00000166748	OMIM	AD	Kidney-RCC	0.70	0.16	1.69	0.165	0.261	-	-	-	-	-	0.70	0.16	1.69	0.165	0.263
AK7	ENSG00000140057	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.70	0.16	1.69	0.165	0.263
AKR1C3	ENSG00000196139	SOD	Not OMIM	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
ALDOB	ENSG00000136872	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.48	-0.72	0.633	0.659	0.00	0.48	-0.72	0.633	0.653
ALKBH8	ENSG00000137760	OMIM	AR	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
ANO5	ENSG00000171714	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
ASB10	ENSG00000146926	OMIM	Other	Kidney-RCC	-	-	-	-	-	0.70	0.28	1.01	0.382	0.427	0.70	0.28	1.01	0.382	0.422
ATM	ENSG00000149311	CPG	Not OMIM	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
AURKC	ENSG00000105146	OMIM	AR	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
BBS1	ENSG00000174483	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.24	0.19	0.905	0.908	0.00	0.24	0.19	0.905	0.908
BCHE	ENSG00000114200	OMIM	Other	Kidney-RCC	-	-	-	-	-	0.70	0.20	1.42	0.231	0.304	0.70	0.20	1.42	0.231	0.294
C7	ENSG00000112936	OMIM	Other	Kidney-RCC	-	-	-	-	-	0.70	0.20	1.42	0.231	0.304	0.70	0.20	1.42	0.231	0.294
C8B	ENSG00000021852	OMIM	AR	Kidney-RCC	0.70	0.16	1.69	0.165	0.261	0.70	0.16	1.69	0.165	0.269	0.70	0.16	1.69	0.165	0.263
CAPN3	ENSG00000092529	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
CBS	ENSG00000160200	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.16	1.69	0.165	0.269	0.70	0.16	1.69	0.165	0.263
CCDC73	ENSG00000186714	SOD	Not OMIM	Kidney-RCC	0.70	0.16	1.69	0.165	0.261	-	-	-	-	-	0.70	0.16	1.69	0.165	0.263
CCT5	ENSG00000150753	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
CD36	ENSG00000135218	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
CENPJ	ENSG00000151849	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
CFTR	ENSG00000001626	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	0.70	0.12	2.01	0.110	0.180	0.70	0.12	2.01	0.110	0.176
CLCN1	ENSG00000188037	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.16	0.67	0.671	0.683
CLTCL1	ENSG00000070371	SOD	Not OMIM	Kidney-RCC	0.00	0.20	0.41	0.793	0.797	-	-	-	-	-	0.00	0.20	0.41	0.793	0.801
CNGA1	ENSG00000198515	OMIM	Other	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.16	0.67	0.671	0.683
CNGA3	ENSG00000144191	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
COASY	ENSG00000068120	OMIM	AR	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
COL7A1	ENSG00000114270	CPG	Not OMIM	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	1.40	0.08	3.03	0.011	0.021
CTC1	ENSG00000178971	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.08	2.43	0.067	0.111	0.70	0.08	2.43	0.067	0.109
DDX41	ENSG00000183258	OMIM	AD	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
DMGDH	ENSG00000132837	OMIM	AR	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
DNAH1	ENSG00000114841	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.28	1.01	0.382	0.427	0.70	0.28	1.01	0.382	0.422
DNAH9	ENSG00000007174	OMIM	AR	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
DYSF	ENSG00000135636	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
ECT2L	ENSG00000203734	SOD	Not OMIM	Kidney-RCC	0.70	0.44	0.41	0.710	0.718	-	-	-	-	-	0.70	0.44	0.41	0.710	0.722
EEF2	ENSG00000167658	OMIM	AD	Kidney-RCC	2.80	0.00	5.38	0.001	0.001	-	-	-	-	-	2.80	0.00	5.38	0.001	0.001
EIF2B5	ENSG00000145191	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
EPX	ENSG00000121053	OMIM	AR	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
ERCC2	ENSG00000104884	SOD	Not OMIM	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
F7	ENSG00000057593	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
FANCM	ENSG00000187790	CPG	Not OMIM	Kidney-RCC	0.70	0.12	2.01	0.110	0.175	-	-	-	-	-	0.70	0.12	2.01	0.110	0.176
FGG	ENSG00000171557	OMIM	AR	Kidney-RCC	-	-	-	-	-	1.40	0.76	0.26	0.773	0.791	1.40	0.76	0.26	0.773	0.786
FIG4	ENSG00000112367	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.16	1.69	0.165	0.269	0.70	0.16	1.69	0.165	0.263
FKBP14	ENSG00000106080	OMIM	AR	Kidney-RCC	0.70	0.20	1.42	0.231	0.285	0.70	0.20	1.42	0.231	0.304	0.70	0.20	1.42	0.231	0.294
FKRP	ENSG00000181027	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
FLG	ENSG00000143631	OMIM	AD	Kidney-RCC	0.70	0.20	1.42	0.231	0.285	-	-	-	-	-	0.70	0.20	1.42	0.231	0.294
FLG2	ENSG00000143520	OMIM	AR	Kidney-RCC	2.10	0.00	5.04	0.002	0.004	-	-	-	-	-	2.10	0.00	5.04	0.002	0.004
FMO3	ENSG00000007933	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.08	2.43	0.067	0.111	0.70	0.08	2.43	0.067	0.109
FOXE1	ENSG00000178919	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
FUK	ENSG00000157353	OMIM	AR	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	-	-	-	-	-	0.70	0.12	2.01	0.110	0.176
GAA	ENSG00000171298	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.12	2.01	0.110	0.180	0.70	0.12	2.01	0.110	0.176
GALNS	ENSG00000141012	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.24	0.19	0.905	0.908	0.00	0.24	0.19	0.905	0.908
GAS2L2	ENSG00000132139	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
GCKR	ENSG00000084734	OMIM	Other	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
GJB2	ENSG00000165474	CPG	Not OMIM	Kidney-RCC	-	-	-	-	-	0.70	0.20	1.42	0.231	0.304	0.70	0.20	1.42	0.231	0.294
GJB4	ENSG00000189433	OMIM	AD	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
GLB1	ENSG00000170266	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.16	0.67	0.671	0.683
GPR68	ENSG00000119714	OMIM	AR	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
GUCA1B	ENSG00000112599	OMIM	Other	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
GYG1	ENSG00000163754	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
HAL	ENSG00000084110	OMIM	ADAR	Kidney-RCC	0.00	0.20	0.41	0.793	0.797	-	-	-	-	-	0.00	0.20	0.41	0.793	0.801
HGD	ENSG00000113924	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.24	1.20	0.304	0.355	1.40	0.24	1.80	0.074	0.120
HLA-C	ENSG00000204525	OMIM	Other	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
HPS1	ENSG00000107521	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
HTRA1	ENSG00000166033	OMIM	ADAR	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
HYDIN	ENSG00000157423	OMIM	AR	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
IGF2	ENSG00000167244	OMIM	AD	Kidney-RCC	0.00	0.16	0.67	0.671	0.678	-	-	-	-	-	0.00	0.16	0.67	0.671	0.683
IGHMBP2	ENSG00000132740	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.08	2.43	0.067	0.111	0.70	0.08	2.43	0.067	0.109
KANK1	ENSG00000107104	OMIM	Other	Kidney-RCC	0.70	0.12	2.01	0.110	0.175	-	-	-	-	-	0.70	0.12	2.01	0.110	0.176
KIAA0586	ENSG00000100578	OMIM	AR	Kidney-RCC	0.00	0.24	0.19	0.905	0.906	0.00	0.20	0.41	0.793	0.805	0.00	0.24	0.19	0.905	0.908
KLHL6	ENSG00000172578	SOD	Not OMIM	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
KRT4	ENSG00000170477	OMIM	AD	Kidney-RCC	0.70	0.12	2.01	0.110	0.175	-	-	-	-	-	0.70	0.12	2.01	0.110	0.176
LARS2	ENSG00000011376	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
LDLR	ENSG00000130164	OMIM	AD	Kidney-RCC	-	-	-	-	-	0.00	0.28	-0.01	0.996	0.996	0.00	0.28	-0.01	0.996	0.996
LEPR	ENSG00000116678	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.16	0.67	0.671	0.683
LIPA	ENSG00000107798	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.08	2.43	0.067	0.111	0.70	0.08	2.43	0.067	0.109
LIPT1	ENSG00000144182	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
LRIG2	ENSG00000198799	OMIM	AR	Kidney-RCC	0.00	0.24	0.19	0.905	0.906	-	-	-	-	-	0.00	0.24	0.19	0.905	0.908
LRP2	ENSG00000081479	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
LRRK2	ENSG00000188906	OMIM	AD	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
LY75-CD302	ENSG00000248672	SOD	Not OMIM	Kidney-RCC	0.00	0.24	0.19	0.905	0.906	-	-	-	-	-	0.00	0.24	0.19	0.905	0.908
MACC1	ENSG00000183742	SOD	Not OMIM	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
MC1R	ENSG00000258839	OMIM	AR	Kidney-RCC	0.00	0.28	-0.01	0.996	0.996	-	-	-	-	-	0.00	0.28	-0.01	0.996	0.996
MC4R	ENSG00000166603	OMIM	ADAR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
MEF2A	ENSG00000068305	OMIM	AD	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.16	0.67	0.671	0.683
MLH3	ENSG00000119684	OMIM	AD	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
MMACHC	ENSG00000132763	OMIM	AR	Kidney-RCC	0.00	0.20	0.41	0.793	0.797	0.70	0.08	2.43	0.067	0.111	0.70	0.28	1.01	0.382	0.422
MPO	ENSG00000005381	OMIM	ADAR	Kidney-RCC	0.00	0.20	0.41	0.793	0.797	0.00	0.28	-0.01	0.996	0.996	0.00	0.32	-0.18	0.906	0.909
MUT	ENSG00000146085	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.16	0.67	0.671	0.687	0.00	0.16	0.67	0.671	0.683
MUTYH	ENSG00000132781	CPG	Not OMIM	Kidney-RCC	-	-	-	-	-	1.40	0.56	0.68	0.459	0.492	1.40	0.56	0.68	0.459	0.487
MYH8	ENSG00000133020	OMIM	AD	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
MYO15A	ENSG00000091536	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.70	0.12	2.01	0.110	0.180	0.70	0.12	2.01	0.110	0.176
MYOC	ENSG00000034971	OMIM	AD	Kidney-RCC	0.70	0.12	2.01	0.110	0.175	1.40	0.12	2.61	0.019	0.037	1.40	0.16	2.29	0.032	0.054
NEB	ENSG00000183091	OMIM	AR	Kidney-RCC	-	-	-	-	-	0.00	0.12	1.00	0.538	0.560	0.00	0.12	1.00	0.538	0.555
NIPAL4	ENSG00000172548	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
NPFFR2	ENSG00000056291	SOD	Not OMIM	Kidney-RCC	0.00	0.12	1.00	0.538	0.549	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
NUP93	ENSG00000102900	OMIM	AR	Kidney-RCC	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.00	0.538	0.555
OTOF	ENSG00000115155	OMIM	AR	Kidney-RCC	0.70	0.08	2.43	0.067	0.108	-	-	-	-	-	0.70	0.08	2.43	0.067	0.109
OTOGL	ENSG00000165899	OMIM	AR	Kidney-RCC	1.40	0.04	3.61	0.006	0.013	-	-	-	-	-	1.40	0.04	3.61	0.006	0.013
