Supplementary Table 5. Functional Annotation of 103 Significantly Enriched OMIM Genes Using GO and KEGG			
			
ID	GOTERM_BP_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY
CSF2RB	GO:0006468~protein phosphorylation,GO:0007165~signal transduction,GO:0007259~JAK-STAT cascade,GO:0007585~respiratory gaseous exchange,GO:0016064~immunoglobulin mediated immune response,GO:0019221~cytokine-mediated signaling pathway,GO:0032496~response to lipopolysaccharide,GO:0036016~cellular response to interleukin-3,GO:0038043~interleukin-5-mediated signaling pathway,GO:0038156~interleukin-3-mediated signaling pathway,GO:0038157~granulocyte-macrophage colony-stimulating factor signaling pathway,GO:0070665~positive regulation of leukocyte proliferation,	GO:0004896~cytokine receptor activity,GO:0004912~interleukin-3 receptor activity,GO:0004914~interleukin-5 receptor activity,GO:0005515~protein binding,GO:0015026~coreceptor activity,GO:0038023~signaling receptor activity,	hsa04060:Cytokine-cytokine receptor interaction,hsa04210:Apoptosis,hsa04630:JAK-STAT signaling pathway,hsa05200:Pathways in cancer,
C8A	GO:0006955~immune response,GO:0006956~complement activation,GO:0006957~complement activation, alternative pathway,GO:0006958~complement activation, classical pathway,GO:0019835~cytolysis,GO:0030449~regulation of complement activation,GO:0031640~killing of cells of other organism,GO:0045087~innate immune response,GO:0050778~positive regulation of immune response,	GO:0001848~complement binding,GO:0005515~protein binding,GO:0044877~macromolecular complex binding,	hsa04610:Complement and coagulation cascades,hsa04810:Regulation of actin cytoskeleton,hsa05020:Prion disease,hsa05146:Amoebiasis,hsa05171:Coronavirus disease - COVID-19,hsa05322:Systemic lupus erythematosus,
C9	GO:0001906~cell killing,GO:0006956~complement activation,GO:0006957~complement activation, alternative pathway,GO:0006958~complement activation, classical pathway,GO:0019835~cytolysis,GO:0030449~regulation of complement activation,GO:0031640~killing of cells of other organism,GO:0050778~positive regulation of immune response,GO:0051260~protein homooligomerization,	GO:0005515~protein binding,	hsa04610:Complement and coagulation cascades,hsa04810:Regulation of actin cytoskeleton,hsa05020:Prion disease,hsa05146:Amoebiasis,hsa05171:Coronavirus disease - COVID-19,hsa05322:Systemic lupus erythematosus,
CRB1	GO:0001974~blood vessel remodeling,GO:0007009~plasma membrane organization,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007163~establishment or maintenance of cell polarity,GO:0007267~cell-cell signaling,GO:0008104~protein localization,GO:0010001~glial cell differentiation,GO:0010467~gene expression,GO:0010842~retina layer formation,GO:0034613~cellular protein localization,GO:0035845~photoreceptor cell outer segment organization,GO:0042462~eye photoreceptor cell development,GO:0045197~establishment or maintenance of epithelial cell apical/basal polarity,GO:0045494~photoreceptor cell maintenance,GO:0050908~detection of light stimulus involved in visual perception,GO:0060060~post-embryonic retina morphogenesis in camera-type eye,GO:0061159~establishment of bipolar cell polarity involved in cell morphogenesis,GO:0071482~cellular response to light stimulus,	GO:0005509~calcium ion binding,GO:0005515~protein binding,	hsa04390:Hippo signaling pathway,
CUBN	GO:0001894~tissue homeostasis,GO:0006898~receptor-mediated endocytosis,GO:0008203~cholesterol metabolic process,GO:0009235~cobalamin metabolic process,GO:0009617~response to bacterium,GO:0015031~protein transport,GO:0015889~cobalamin transport,GO:0042953~lipoprotein transport,GO:0051649~establishment of localization in cell,	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0031419~cobalamin binding,GO:0038023~signaling receptor activity,GO:0038024~cargo receptor activity,GO:0042803~protein homodimerization activity,	hsa04977:Vitamin digestion and absorption,
CYP1B1	GO:0001525~angiogenesis,GO:0002930~trabecular meshwork development,GO:0006304~DNA modification,GO:0006805~xenobiotic metabolic process,GO:0006809~nitric oxide biosynthetic process,GO:0007155~cell adhesion,GO:0007584~response to nutrient,GO:0008202~steroid metabolic process,GO:0008210~estrogen metabolic process,GO:0008285~negative regulation of cell proliferation,GO:0008584~male gonad development,GO:0008631~intrinsic apoptotic signaling pathway in response to oxidative stress,GO:0009404~toxin metabolic process,GO:0009636~response to toxic substance,GO:0010575~positive regulation of vascular endothelial growth factor production,GO:0014911~positive regulation of smooth muscle cell migration,GO:0016125~sterol metabolic process,GO:0019369~arachidonic acid metabolic process,GO:0019373~epoxygenase P450 pathway,GO:0030199~collagen fibril organization,GO:0030325~adrenal gland development,GO:0030336~negative regulation of cell migration,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032354~response to follicle-stimulating hormone,GO:0032355~response to estradiol,GO:0033629~negative regulation of cell adhesion mediated by integrin,GO:0042537~benzene-containing compound metabolic process,GO:0042572~retinol metabolic process,GO:0042574~retinal metabolic process,GO:0043065~positive regulation of apoptotic process,GO:0043534~blood vessel endothelial cell migration,GO:0043542~endothelial cell migration,GO:0044849~estrous cycle,GO:0045727~positive regulation of translation,GO:0045766~positive regulation of angiogenesis,GO:0046427~positive regulation of JAK-STAT cascade,GO:0046466~membrane lipid catabolic process,GO:0046685~response to arsenic-containing substance,GO:0048514~blood vessel morphogenesis,GO:0061304~retinal blood vessel morphogenesis,GO:0061548~ganglion development,GO:0070301~cellular response to hydrogen peroxide,GO:0071320~cellular response to cAMP,GO:0071356~cellular response to tumor necrosis factor,GO:0071373~cellular response to luteinizing hormone stimulus,GO:0071387~cellular response to cortisol stimulus,GO:0071393~cellular response to progesterone stimulus,GO:0071407~cellular response to organic cyclic compound,GO:0071548~response to dexamethasone,GO:0071603~endothelial cell-cell adhesion,GO:0071680~response to indole-3-methanol,GO:0097267~omega-hydroxylase P450 pathway,GO:2000377~regulation of reactive oxygen species metabolic process,GO:2000379~positive regulation of reactive oxygen species metabolic process,GO:2000573~positive regulation of DNA biosynthetic process,	GO:0004497~monooxygenase activity,GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0016712~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen,GO:0020037~heme binding,GO:0070330~aromatase activity,GO:0101020~estrogen 16-alpha-hydroxylase activity,	hsa00140:Steroid hormone biosynthesis,hsa00380:Tryptophan metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa04913:Ovarian steroidogenesis,hsa05204:Chemical carcinogenesis - DNA adducts,hsa05206:MicroRNAs in cancer,hsa05207:Chemical carcinogenesis - receptor activation,hsa05208:Chemical carcinogenesis - reactive oxygen species,
DNASE1	GO:0000737~DNA catabolic process, endonucleolytic,GO:0002283~neutrophil activation involved in immune response,GO:0002673~regulation of acute inflammatory response,GO:0006308~DNA catabolic process,GO:0006915~apoptotic process,GO:0070948~regulation of neutrophil mediated cytotoxicity,	GO:0003677~DNA binding,GO:0003779~actin binding,GO:0004530~deoxyribonuclease I activity,GO:0004536~deoxyribonuclease activity,GO:0005515~protein binding,	
DUOX2	GO:0006590~thyroid hormone generation,GO:0006952~defense response,GO:0006979~response to oxidative stress,GO:0009566~fertilization,GO:0009615~response to virus,GO:0019221~cytokine-mediated signaling pathway,GO:0030282~bone mineralization,GO:0030878~thyroid gland development,GO:0035264~multicellular organism growth,GO:0042335~cuticle development,GO:0042446~hormone biosynthetic process,GO:0042554~superoxide anion generation,GO:0042744~hydrogen peroxide catabolic process,GO:0048839~inner ear development,GO:0048855~adenohypophysis morphogenesis,GO:0050665~hydrogen peroxide biosynthetic process,GO:0051591~response to cAMP,GO:0090303~positive regulation of wound healing,GO:0098869~cellular oxidant detoxification,GO:2000147~positive regulation of cell motility,	GO:0004601~peroxidase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0016174~NAD(P)H oxidase activity,GO:0016175~superoxide-generating NADPH oxidase activity,GO:0020037~heme binding,	hsa04918:Thyroid hormone synthesis,
DNAH11	GO:0003341~cilium movement,GO:0003356~regulation of cilium beat frequency,GO:0007018~microtubule-based movement,GO:0007368~determination of left/right symmetry,GO:0007611~learning or memory,GO:0030317~flagellated sperm motility,GO:0035545~determination of left/right asymmetry in nervous system,GO:0060287~epithelial cilium movement involved in determination of left/right asymmetry,GO:0060411~cardiac septum morphogenesis,	GO:0005524~ATP binding,GO:0008569~ATP-dependent microtubule motor activity, minus-end-directed,GO:0045505~dynein intermediate chain binding,GO:0051959~dynein light intermediate chain binding,	hsa04814:Motor proteins,hsa05014:Amyotrophic lateral sclerosis,hsa05016:Huntington disease,hsa05022:Pathways of neurodegeneration - multiple diseases,
DNAH5	GO:0003341~cilium movement,GO:0003351~epithelial cilium movement,GO:0007018~microtubule-based movement,GO:0007368~determination of left/right symmetry,GO:0007507~heart development,GO:0021670~lateral ventricle development,GO:0030317~flagellated sperm motility,GO:0036158~outer dynein arm assembly,GO:0051649~establishment of localization in cell,GO:0060271~cilium assembly,	GO:0005524~ATP binding,GO:0008569~ATP-dependent microtubule motor activity, minus-end-directed,GO:0045505~dynein intermediate chain binding,GO:0051959~dynein light intermediate chain binding,	hsa04814:Motor proteins,hsa05014:Amyotrophic lateral sclerosis,hsa05016:Huntington disease,hsa05022:Pathways of neurodegeneration - multiple diseases,
EPB42	GO:0000902~cell morphogenesis,GO:0007010~cytoskeleton organization,GO:0008360~regulation of cell shape,GO:0018149~peptide cross-linking,GO:0020027~hemoglobin metabolic process,GO:0043249~erythrocyte maturation,GO:0048536~spleen development,GO:0055072~iron ion homeostasis,GO:0060586~multicellular organismal iron ion homeostasis,	GO:0003810~protein-glutamine gamma-glutamyltransferase activity,GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,GO:0005524~ATP binding,	
ESR2	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006367~transcription initiation from RNA polymerase II promoter,GO:0007165~signal transduction,GO:0007267~cell-cell signaling,GO:0030308~negative regulation of cell growth,GO:0030518~intracellular steroid hormone receptor signaling pathway,GO:0030520~intracellular estrogen receptor signaling pathway,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0071391~cellular response to estrogen stimulus,GO:0071392~cellular response to estradiol stimulus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003707~steroid hormone receptor activity,GO:0004879~RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding,GO:0005496~steroid binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0019899~enzyme binding,GO:0030284~estrogen receptor activity,GO:0034056~estrogen response element binding,GO:0043565~sequence-specific DNA binding,GO:0048019~receptor antagonist activity,	hsa01522:Endocrine resistance,hsa04915:Estrogen signaling pathway,hsa04917:Prolactin signaling pathway,hsa04929:GnRH secretion,hsa05200:Pathways in cancer,hsa05207:Chemical carcinogenesis - receptor activation,hsa05224:Breast cancer,
ECM1	GO:0001503~ossification,GO:0001525~angiogenesis,GO:0001938~positive regulation of endothelial cell proliferation,GO:0001960~negative regulation of cytokine-mediated signaling pathway,GO:0002063~chondrocyte development,GO:0002828~regulation of type 2 immune response,GO:0003416~endochondral bone growth,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006954~inflammatory response,GO:0007165~signal transduction,GO:0010466~negative regulation of peptidase activity,GO:0030500~regulation of bone mineralization,GO:0030502~negative regulation of bone mineralization,GO:0031214~biomineral tissue development,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0045766~positive regulation of angiogenesis,GO:2000404~regulation of T cell migration,	GO:0002020~protease binding,GO:0005134~interleukin-2 receptor binding,GO:0005201~extracellular matrix structural constituent,GO:0005515~protein binding,GO:0008022~protein C-terminus binding,GO:0019899~enzyme binding,GO:0043236~laminin binding,	
EYS	GO:0043403~skeletal muscle tissue regeneration,GO:0050908~detection of light stimulus involved in visual perception,	GO:0005509~calcium ion binding,	
FLG2	GO:0007155~cell adhesion,GO:0048730~epidermis morphogenesis,GO:0061436~establishment of skin barrier,	GO:0005198~structural molecule activity,GO:0005509~calcium ion binding,GO:0046914~transition metal ion binding,	
GSS	GO:0006520~cellular amino acid metabolic process,GO:0006750~glutathione biosynthetic process,GO:0006979~response to oxidative stress,GO:0007399~nervous system development,GO:0046686~response to cadmium ion,	GO:0000287~magnesium ion binding,GO:0004363~glutathione synthase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0043295~glutathione binding,GO:0046872~metal ion binding,	hsa00270:Cysteine and methionine metabolism,hsa00480:Glutathione metabolism,hsa01100:Metabolic pathways,hsa01240:Biosynthesis of cofactors,hsa04216:Ferroptosis,
GUCY2C	GO:0006182~cGMP biosynthetic process,GO:0006468~protein phosphorylation,GO:0007165~signal transduction,GO:0007168~receptor guanylyl cyclase signaling pathway,GO:0009636~response to toxic substance,GO:0035556~intracellular signal transduction,GO:0042127~regulation of cell proliferation,	GO:0001653~peptide receptor activity,GO:0004016~adenylate cyclase activity,GO:0004383~guanylate cyclase activity,GO:0004672~protein kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0005525~GTP binding,GO:0015643~toxic substance binding,GO:0016941~natriuretic peptide receptor activity,GO:0017046~peptide hormone binding,	hsa00230:Purine metabolism,hsa01100:Metabolic pathways,
HFM1	GO:0000712~resolution of meiotic recombination intermediates,GO:0016043~cellular component organization,GO:0032508~DNA duplex unwinding,GO:0090304~nucleic acid metabolic process,	GO:0003676~nucleic acid binding,GO:0003678~DNA helicase activity,GO:0004386~helicase activity,GO:0005524~ATP binding,GO:0016887~ATPase activity,	
HMCN1	GO:0007049~cell cycle,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007601~visual perception,GO:0009617~response to bacterium,GO:0030036~actin cytoskeleton organization,GO:0051301~cell division,GO:0071711~basement membrane organization,GO:0090527~actin filament reorganization,	GO:0005201~extracellular matrix structural constituent,GO:0005509~calcium ion binding,GO:0005515~protein binding,	
IFIH1	GO:0002753~cytoplasmic pattern recognition receptor signaling pathway,GO:0009597~detection of virus,GO:0009615~response to virus,GO:0016925~protein sumoylation,GO:0032727~positive regulation of interferon-alpha production,GO:0032728~positive regulation of interferon-beta production,GO:0032755~positive regulation of interleukin-6 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0034344~regulation of type III interferon production,GO:0039528~cytoplasmic pattern recognition receptor signaling pathway in response to virus,GO:0039530~MDA-5 signaling pathway,GO:0045071~negative regulation of viral genome replication,GO:0045087~innate immune response,GO:0051259~protein oligomerization,GO:0051607~defense response to virus,GO:0060337~type I interferon signaling pathway,GO:0060760~positive regulation of response to cytokine stimulus,GO:0071360~cellular response to exogenous dsRNA,GO:0098586~cellular response to virus,	GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0003724~RNA helicase activity,GO:0003725~double-stranded RNA binding,GO:0003727~single-stranded RNA binding,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008270~zinc ion binding,GO:0016887~ATPase activity,GO:0032559~adenyl ribonucleotide binding,GO:0035639~purine ribonucleoside triphosphate binding,GO:0038187~pattern recognition receptor activity,GO:0042802~identical protein binding,GO:0043021~ribonucleoprotein complex binding,	hsa04622:RIG-I-like receptor signaling pathway,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05168:Herpes simplex virus 1 infection,hsa05171:Coronavirus disease - COVID-19,
IL31RA	GO:0000165~MAPK cascade,GO:0002067~glandular epithelial cell differentiation,GO:0002438~acute inflammatory response to antigenic stimulus,GO:0006952~defense response,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007259~JAK-STAT cascade,GO:0008284~positive regulation of cell proliferation,GO:0019221~cytokine-mediated signaling pathway,GO:0030224~monocyte differentiation,GO:0030225~macrophage differentiation,GO:0042531~positive regulation of tyrosine phosphorylation of STAT protein,GO:0042592~homeostatic process,GO:0043031~negative regulation of macrophage activation,GO:0043066~negative regulation of apoptotic process,GO:0045893~positive regulation of transcription, DNA-templated,GO:0098542~defense response to other organism,	GO:0003713~transcription coactivator activity,GO:0004896~cytokine receptor activity,GO:0019901~protein kinase binding,GO:0019955~cytokine binding,GO:0051916~granulocyte colony-stimulating factor binding,	hsa04060:Cytokine-cytokine receptor interaction,hsa04630:JAK-STAT signaling pathway,
KREMEN1	GO:0006915~apoptotic process,GO:0007154~cell communication,GO:0007275~multicellular organism development,GO:0016055~Wnt signaling pathway,GO:0030279~negative regulation of ossification,GO:0048681~negative regulation of axon regeneration,GO:0060173~limb development,GO:0060828~regulation of canonical Wnt signaling pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,	GO:0005515~protein binding,	
LRRK2	GO:0000165~MAPK cascade,GO:0001933~negative regulation of protein phosphorylation,GO:0001934~positive regulation of protein phosphorylation,GO:0006468~protein phosphorylation,GO:0006606~protein import into nucleus,GO:0006897~endocytosis,GO:0006914~autophagy,GO:0006979~response to oxidative stress,GO:0007005~mitochondrion organization,GO:0007029~endoplasmic reticulum organization,GO:0007030~Golgi organization,GO:0007040~lysosome organization,GO:0007165~signal transduction,GO:0007254~JNK cascade,GO:0007283~spermatogenesis,GO:0007528~neuromuscular junction development,GO:0008104~protein localization,GO:0008340~determination of adult lifespan,GO:0009267~cellular response to starvation,GO:0009966~regulation of signal transduction,GO:0010506~regulation of autophagy,GO:0010508~positive regulation of autophagy,GO:0010738~regulation of protein kinase A signaling,GO:0010955~negative regulation of protein processing,GO:0010977~negative regulation of neuron projection development,GO:0014041~regulation of neuron maturation,GO:0016242~negative regulation of macroautophagy,GO:0016310~phosphorylation,GO:0018105~peptidyl-serine phosphorylation,GO:0018107~peptidyl-threonine phosphorylation,GO:0019722~calcium-mediated signaling,GO:0021756~striatum development,GO:0021772~olfactory bulb development,GO:0022028~tangential migration from the subventricular zone to the olfactory bulb,GO:0030154~cell differentiation,GO:0030162~regulation of proteolysis,GO:0031331~positive regulation of cellular catabolic process,GO:0031398~positive regulation of protein ubiquitination,GO:0031647~regulation of protein stability,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032091~negative regulation of protein binding,GO:0032092~positive regulation of protein binding,GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0032760~positive regulation of tumor necrosis factor production,GO:0034260~negative regulation of GTPase activity,GO:0034599~cellular response to oxidative stress,GO:0034613~cellular protein localization,GO:0035556~intracellular signal transduction,GO:0035564~regulation of kidney size,GO:0035640~exploration behavior,GO:0035641~locomotory exploration behavior,GO:0035751~regulation of lysosomal lumen pH,GO:0040012~regulation of locomotion,GO:0042391~regulation of membrane potential,GO:0043068~positive regulation of programmed cell death,GO:0043406~positive regulation of MAP kinase activity,GO:0045860~positive regulation of protein kinase activity,GO:0046039~GTP metabolic process,GO:0046777~protein autophosphorylation,GO:0048312~intracellular distribution of mitochondria,GO:0048812~neuron projection morphogenesis,GO:0051646~mitochondrion localization,GO:0051716~cellular response to stimulus,GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process,GO:0051900~regulation of mitochondrial depolarization,GO:0051966~regulation of synaptic transmission, glutamatergic,GO:0060070~canonical Wnt signaling pathway,GO:0060079~excitatory postsynaptic potential,GO:0060159~regulation of dopamine receptor signaling pathway,GO:0060161~positive regulation of dopamine receptor signaling pathway,GO:0060628~regulation of ER to Golgi vesicle-mediated transport,GO:0060828~regulation of canonical Wnt signaling pathway,GO:0061001~regulation of dendritic spine morphogenesis,GO:0070585~protein localization to mitochondrion,GO:0070973~protein localization to endoplasmic reticulum exit site,GO:0070997~neuron death,GO:0071287~cellular response to manganese ion,GO:0071356~cellular response to tumor necrosis factor,GO:0071407~cellular response to organic cyclic compound,GO:0072593~reactive oxygen species metabolic process,GO:0090140~regulation of mitochondrial fission,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:0090394~negative regulation of excitatory postsynaptic potential,GO:1900244~positive regulation of synaptic vesicle endocytosis,GO:1901214~regulation of neuron death,GO:1901215~negative regulation of neuron death,GO:1901727~positive regulation of histone deacetylase activity,GO:1902236~negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,GO:1902499~positive regulation of protein autoubiquitination,GO:1902692~regulation of neuroblast proliferation,GO:1902803~regulation of synaptic vesicle transport,GO:1902823~negative regulation of late endosome to lysosome transport,GO:1902902~negative regulation of autophagosome assembly,GO:1903125~negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation,GO:1903206~negative regulation of hydrogen peroxide-induced cell death,GO:1903215~negative regulation of protein targeting to mitochondrion,GO:1903217~negative regulation of protein processing involved in protein targeting to mitochondrion,GO:1903351~cellular response to dopamine,GO:1903980~positive regulation of microglial cell activation,GO:1904887~Wnt signalosome assembly,GO:1905279~regulation of retrograde transport, endosome to Golgi,GO:1905289~regulation of CAMKK-AMPK signaling cascade,GO:2000172~regulation of branching morphogenesis of a nerve,GO:2000300~regulation of synaptic vesicle exocytosis,	GO:0000149~SNARE binding,GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0003779~actin binding,GO:0003924~GTPase activity,GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004706~JUN kinase kinase kinase activity,GO:0004709~MAP kinase kinase kinase activity,GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0004722~protein serine/threonine phosphatase activity,GO:0005096~GTPase activator activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0005525~GTP binding,GO:0008017~microtubule binding,GO:0015631~tubulin binding,GO:0016301~kinase activity,GO:0017075~syntaxin-1 binding,GO:0030159~receptor signaling complex scaffold activity,GO:0030276~clathrin binding,GO:0031267~small GTPase binding,GO:0034211~GTP-dependent protein kinase activity,GO:0036479~peroxidase inhibitor activity,GO:0039706~co-receptor binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0044325~ion channel binding,GO:0051018~protein kinase A binding,GO:1904713~beta-catenin destruction complex binding,	hsa05012:Parkinson disease,hsa05022:Pathways of neurodegeneration - multiple diseases,
LZTR1	GO:0016567~protein ubiquitination,GO:0046580~negative regulation of Ras protein signal transduction,	GO:0005515~protein binding,GO:0031267~small GTPase binding,	
LIPH	GO:0006629~lipid metabolic process,GO:0006633~fatty acid biosynthetic process,GO:0006654~phosphatidic acid biosynthetic process,GO:0016042~lipid catabolic process,GO:0019433~triglyceride catabolic process,	GO:0004465~lipoprotein lipase activity,GO:0004620~phospholipase activity,GO:0004806~triglyceride lipase activity,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0016298~lipase activity,GO:0052689~carboxylic ester hydrolase activity,	
MMAA	GO:0009235~cobalamin metabolic process,	GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,	
METTL23	GO:0006338~chromatin remodeling,GO:0032259~methylation,GO:0044725~chromatin reprogramming in the zygote,GO:0044727~DNA demethylation of male pronucleus,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050890~cognition,	GO:0005515~protein binding,GO:0008168~methyltransferase activity,GO:0031072~heat shock protein binding,GO:0035242~protein-arginine omega-N asymmetric methyltransferase activity,GO:0035642~histone methyltransferase activity (H3-R17 specific),	
MVD	GO:0006695~cholesterol biosynthetic process,GO:0008284~positive regulation of cell proliferation,GO:0008299~isoprenoid biosynthetic process,GO:0019287~isopentenyl diphosphate biosynthetic process, mevalonate pathway,	GO:0004163~diphosphomevalonate decarboxylase activity,GO:0005524~ATP binding,GO:0016831~carboxy-lyase activity,GO:0030544~Hsp70 protein binding,GO:0042803~protein homodimerization activity,	hsa00900:Terpenoid backbone biosynthesis,hsa01100:Metabolic pathways,
MVK	GO:0006695~cholesterol biosynthetic process,GO:0008299~isoprenoid biosynthetic process,GO:0016310~phosphorylation,GO:0019287~isopentenyl diphosphate biosynthetic process, mevalonate pathway,GO:0050728~negative regulation of inflammatory response,	GO:0000287~magnesium ion binding,GO:0004496~mevalonate kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0042802~identical protein binding,	hsa00900:Terpenoid backbone biosynthesis,hsa01100:Metabolic pathways,hsa04146:Peroxisome,
MIPEP	GO:0006508~proteolysis,GO:0006518~peptide metabolic process,GO:0006627~protein processing involved in protein targeting to mitochondrion,	GO:0004222~metalloendopeptidase activity,GO:0046872~metal ion binding,	
